time,top_temp,croplvl_temp,air_temp,outside_temp,solar_angle,humidity,solar,temperature,pressure,GH_T_air,GH_T_top,GH_T_bottle,GH_T_ground,GH_T_wall_ext,GH_T_wall_int,GH_humidity,crop_mass,T_ext,Q_wall_solar,Q_wall_ext_conv,Q_wall_rad_ext,Q_wall_ext_cond,Q_wall_int_conv,Q_net_ext,Q_net_int,T_wall_ext_new,T_wall_int_new,Q_top_solar,Q_top_cond,Q_top_conv,Q_top_rad,Q_top_vent,Q_roof_int_conv,Q_roof_int_rad,roof_rho,roof_cp,Q_air_cond,Q_air_conv,Q_air_rad,Q_air_vent,Q_air_internal,Q_wall_air_conv,Q_wall_air_rad,RH_air_new,Q_top_net,T_top_new,Q_air_net,T_air_new
2025-02-11 13:00:00,47.690000000000005,30.543333333333333,32.54,24.8,6.05,41.45,834.0,24.8,721,32.09837286838944,49.87582290780449,37.54,32.54,49.31041096832162,49.31041096832162,38.51826593838973,1.225,24.8,2335053.877282151,406.57755599999996,2305.203160832404,0.0,0.0,2333155.2516773185,2333155.2516773185,49.31041096832162,49.31041096832162,16398832.138400106,12046.0914,120.460914,8102.572926079076,13188498.945302503,58467.48600000002,5562.186329313023,1000,1500,813155.1119999998,406.57755599999996,2305.203160832404,3507662.4271421726,-58467.48600000002,0.0,0.0,38.51826593838973,3126034.395528212,49.87582290780449,-279611.7879249165,32.09837286838944
2025-02-11 14:00:00,47.15833333333333,30.188333333333333,32.153333333333336,25.358333333333334,19.68,29.81,821.0,25.358333333333334,721,33.503135142994836,50.601807407606444,37.54,32.513089397600154,52.781849499780996,52.781849499780996,34.426505942096405,3.0,25.358333333333334,2298656.1549743954,1258.1882669193537,7776.083201440142,0.0,904.1380341665774,482958.0536725533,482958.0536725533,52.781849499780996,52.781849499780996,15285394.990558464,12902.574063461188,129.02574063461188,8796.292871572234,14095222.726672402,68607.44629011213,6582.9133283456495,1000,1500,708100.4655055524,354.0502327527762,2008.469705226358,3843566.8416926307,-68607.44629011213,904.1380341665774,5767.613496213784,34.426505942096405,1093154.0115919355,50.601807407606444,1010376.8700080542,33.503135142994836
2025-02-11 15:00:00,44.36666666666667,30.238333333333333,31.928333333333335,26.288333333333334,33.95,28.1,697.0,26.288333333333334,721,30.578653801098998,48.73743729792486,37.54,32.5734179542149,52.190073948892326,52.190073948892326,31.04994939756276,3.0,26.288333333333334,1951477.8806542675,1391.688508113796,8788.053332182644,0.0,1012.699297933363,-82329.77933446062,-82329.77933446062,52.190073948892326,52.190073948892326,11432334.082434645,12795.208866326964,127.95208866326965,8792.70932818605,13968183.302916192,65987.87995047969,6395.787457790291,1000,1500,757978.4203608658,378.9892101804329,2175.0200851077243,7856029.720926633,-65987.87995047969,1012.699297933363,6613.033247074919,31.04994939756276,-2629948.7581729945,48.73743729792486,-3795902.3712917566,30.578653801098998
2025-02-11 16:00:00,38.15833333333333,29.383333333333333,30.305,26.501666666666665,48.25,36.82,388.0,26.501666666666665,721,26.81483500108357,42.04016716866592,37.54,32.45186676054117,43.61905706285892,43.61905706285892,33.2618086277145,3.0,26.501666666666665,1086332.019646852,1349.3966214909447,8504.639272870161,0.0,1135.234933511495,-1192428.3249610288,-1192428.3249610288,43.61905706285892,43.61905706285892,5108593.010040261,11701.796652405937,117.01796652405937,7975.657015176871,12713010.351457072,70079.10362229025,6639.412248671126,1000,1500,428323.37595889956,214.1616879794498,1212.5381480582857,18130521.956039984,-70079.10362229025,1135.234933511495,7292.101124811876,33.2618086277145,-7700930.328921879,42.04016716866592,-15079500.829577547,26.81483500108357
2025-02-11 17:00:00,27.3,24.456666666666667,25.053333333333335,23.763333333333332,62.49,34.45,235.0,23.763333333333332,721,23.4661834843775,32.213281985745795,37.54,32.108373552049095,35.61514027651314,35.61514027651314,35.26298741769814,3.0,23.763333333333332,657958.8263325006,1043.0092540777416,6219.191460718629,0.0,882.7157023718222,-1113531.4763201564,-1113531.4763201564,35.61514027651314,35.61514027651314,2146305.610102947,9618.366574182124,96.18366574182124,6259.159318236465,10426915.343932355,58758.210914420495,5291.02532360659,1000,1500,320587.10341183865,160.29355170591933,878.5062664757927,13540766.427119572,-58758.210914420495,882.7157023718222,5340.685194242837,35.26298741769814,-8360632.679625596,32.213281985745795,-11615246.996212076,23.4661834843775
2025-02-11 18:00:00,20.763333333333332,20.865000000000002,21.225,20.39333333333333,76.61,33.88,99.0,20.39333333333333,721,19.334422780133956,18.988886530548484,37.54,31.581760660475016,28.40199684079125,28.40199684079125,37.10884759330227,3.0,20.39333333333333,277182.6544975215,799.5923856410694,4505.710052461894,0.0,638.1774109168099,-1003516.462413836,-1003516.462413836,28.40199684079125,28.40199684079125,453320.37311893475,6220.3661778185815,62.20366177818582,3789.7928490280133,27150292.84583025,33757.15242042058,2847.43722798356,1000,1500,322829.9494485191,161.41497472425954,855.114398346004,13611426.092626458,-33757.15242042058,638.1774109168099,3650.5956541158894,37.10884759330227,-26743649.425048344,18.988886530548484,-12574633.635481456,19.334422780133956
2025-02-11 19:00:00,17.4,18.33,18.576666666666668,19.381666666666664,90.2,38.49,35.0,19.381666666666664,721,19.795116467718117,19.872826958141758,37.54,30.835467653176135,22.24056988919238,22.24056988919238,43.48613520465569,3.0,19.381666666666664,97993.86775164901,473.83253184866,2561.109778767231,0.0,476.3142248618912,-857198.1734439138,-857198.1734439138,22.24056988919238,22.24056988919238,0.0,-206.70447443355332,-2.0670447443355333,-117.12154714124348,-2207281.631905288,-1333.5073158502348,-103.00909517939411,1000,1500,-4963.386026462516,-2.4816930132312582,-12.80595201965103,-208824.3337996135,1333.5073158502348,476.3142248618912,2573.9157307868822,43.48613520465569,2209044.041382637,19.872826958141758,1172478.0735771866,19.795116467718117
2025-02-11 20:00:00,15.978333333333333,16.943333333333335,17.175,18.19,104.29,41.26,0.0,18.19,721,17.44337081072991,16.70983215154561,37.54,30.16272252535071,20.38653298230037,20.38653298230037,46.842025698274526,3.0,18.19,0.0,212.7740059373421,1107.6837783462242,0.0,128.45820095799013,-257939.7698893471,-257939.7698893471,20.38653298230037,20.38653298230037,-0.0,885.6045149916806,8.856045149916806,501.00750434542954,9475452.66395008,299.9034330625322,23.326772569848398,1000,1500,168631.60995870395,84.31580497935198,433.4580941969959,7108767.493713633,-299.9034330625322,128.45820095799013,674.2256841492284,46.842025698274526,-9477171.3622202,16.70983215154561,-7016782.2270418955,17.44337081072991
2025-02-11 21:00:00,14.788333333333332,15.81,15.99,17.023333333333333,117.47,49.13,0.0,17.023333333333333,721,16.875465913664925,17.36817466252118,37.54,29.387667298268806,18.15765726637717,18.15765726637717,53.755332748158665,3.0,17.023333333333333,0.0,176.66685964044905,905.5678326906018,0.0,154.60254297529335,-310088.58946661215,-310088.58946661215,18.15765726637717,18.15765726637717,-0.0,-164.98313192760807,-1.6498313192760807,-91.27486802379543,-1763798.364771059,-2830.901735070422,-214.03202540704558,1000,1500,44128.63333031143,22.064316665155715,111.39256819214319,1858767.4074169921,2830.901735070422,154.60254297529335,794.1752644984585,53.755332748158665,1767101.2063628072,17.36817466252118,-1586282.8394321492,16.875465913664925
2025-02-11 22:00:00,14.313333333333333,15.228333333333333,15.426666666666668,16.568333333333335,129.73,55.91,0.0,16.568333333333335,721,16.462998521813628,15.927435113108194,37.54,28.625234801470143,17.18649439715882,17.18649439715882,60.92236958661641,3.0,16.568333333333335,0.0,83.4862326084329,422.05123022254185,0.0,67.35274244316267,-135111.40262638262,-135111.40262638262,17.18649439715882,17.18649439715882,-0.0,420.9244978983956,4.209244978983956,233.11662308518765,4505166.450349629,1901.4813119360158,143.82971753381293,1000,1500,32266.980330540457,16.133490165270228,81.0209190837295,1360692.9743834056,-1901.4813119360158,67.35274244316267,341.03031113881235,60.92236958661641,-4507870.011745061,15.927435113108194,-1255749.1400476913,16.462998521813628
