Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,6710390,-,-,-,-18.18,-65.39,0,2772,-4,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Alpha,AOD,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2019,1,1,0,0,13.3,1.16,0.031,0.61,0,0,0,0,7,13.3,0,0,0,0,0.25,100,103.35000000000001,0.9400000000000001,0.18,721,2.7,74,1.7000000000000002
2019,1,1,1,0,13.100000000000001,1.16,0.03,0.61,0,0,0,0,7,13.100000000000001,0,0,0,0,0.25,100,115.21000000000001,0.9400000000000001,0.18,722,2.7,64,1.8
2019,1,1,2,0,13,1.16,0.03,0.61,0,0,0,0,0,13,0,0,0,0,0.249,100,125.7,0.9400000000000001,0.18,722,2.6,51,2
2019,1,1,3,0,12.700000000000001,1.16,0.03,0.61,0,0,0,0,0,12.700000000000001,0,0,0,0,0.249,100,133.88,0.9400000000000001,0.18,721,2.6,40,2.1
2019,1,1,4,0,12.4,1.17,0.03,0.61,0,0,0,0,0,12.4,0,0,0,0,0.25,100,138.35,0.9400000000000001,0.18,721,2.5,29,2.1
2019,1,1,5,0,12,1.17,0.03,0.61,0,0,0,0,7,12,0,0,0,0,0.25,100,137.91,0.9400000000000001,0.18,721,2.5,17,1.6
2019,1,1,6,0,11.700000000000001,1.17,0.03,0.61,0,0,0,0,0,11.700000000000001,0,0,0,0,0.251,100,132.7,0.9400000000000001,0.18,720,2.5,0,1.3
2019,1,1,7,0,11.4,1.17,0.032,0.61,0,0,0,0,7,11.4,0,0,0,0,0.252,100,124.04,0.9400000000000001,0.18,721,2.4000000000000004,340,1.1
2019,1,1,8,0,11,1.17,0.034,0.61,0,0,0,0,7,11,0,0,0,0,0.253,100,113.26,0.9400000000000001,0.18,721,2.4000000000000004,314,0.9
2019,1,1,9,0,10.5,1.18,0.034,0.61,0,0,0,0,7,10.5,0,0,0,0,0.253,100,101.23,0.9400000000000001,0.18,722,2.4000000000000004,293,0.9
