Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,6710390,-,-,-,-18.18,-65.39,0,2772,-4,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,AOD,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2018,1,1,0,0,14.4,1.2,0.061,0.61,0,0,0,0,7,12.9,0,0,0,0,0.251,90.71000000000001,103.33,0.98,0.18,721,2.3000000000000003,3,1.3
2018,1,1,1,0,13.9,1.21,0.061,0.61,0,0,0,0,3,12.9,0,0,0,0,0.251,93.98,115.19,0.98,0.18,721,2.3000000000000003,346,1.4000000000000001
2018,1,1,2,0,13.5,1.21,0.064,0.61,0,0,0,0,0,12.8,0,0,0,0,0.251,95.7,125.69,0.98,0.18,721,2.3000000000000003,336,1.4000000000000001
2018,1,1,3,0,13.200000000000001,1.21,0.067,0.61,0,0,0,0,7,12.600000000000001,0,0,0,0,0.251,95.89,133.88,0.98,0.18,721,2.2,331,1.4000000000000001
2018,1,1,4,0,12.8,1.2,0.07,0.61,0,0,0,0,9,12.100000000000001,0,0,0,0,0.252,95.79,138.37,0.98,0.18,720,2.2,329,1.4000000000000001
2018,1,1,5,0,12.4,1.2,0.07,0.61,0,0,0,0,9,11.700000000000001,0,0,0,0,0.253,95.62,137.94,0.98,0.18,720,2.1,326,1.4000000000000001
2018,1,1,6,0,12,1.2,0.07100000000000001,0.61,0,0,0,0,6,11.200000000000001,0,0,0,0,0.254,95.15,132.74,0.98,0.18,719,2.1,323,1.4000000000000001
2018,1,1,7,0,11.700000000000001,1.21,0.067,0.61,0,0,0,0,6,10.8,0,0,0,0,0.254,94.27,124.08,0.98,0.18,719,2.1,320,1.5
2018,1,1,8,0,11.3,1.24,0.061,0.61,0,0,0,0,9,10.4,0,0,0,0,0.255,94.24,113.3,0.97,0.18,719,2,318,1.4000000000000001
2018,1,1,9,0,11,1.26,0.057,0.61,0,0,0,0,6,10.100000000000001,0,0,0,0,0.255,94.29,101.27,0.97,0.18,720,2,317,1.4000000000000001
2018,1,1,10,0,12.5,1.29,0.052000000000000005,0.61,14,196,20,7,6,10.4,5,0,7,5,0.254,87.27,88.27,0.97,0.18,720,1.9000000000000001,319,1.8
2018,1,1,11,0,15.5,1.31,0.047,0.61,49,732,235,0,7,10.200000000000001,118,18,0,122,0.254,70.72,75.22,0.96,0.18,721,1.8,312,2.9000000000000004
2018,1,1,12,0,18.5,1.33,0.042,0.61,63,910,494,0,7,9.5,195,494,0,429,0.254,55.620000000000005,61.71,0.96,0.18,721,1.8,317,3.3000000000000003
2018,1,1,13,0,20.900000000000002,1.35,0.039,0.61,72,996,738,0,7,9,340,373,0,590,0.253,46.63,48.01,0.9500000000000001,0.18,721,1.7000000000000002,333,3.5
2018,1,1,14,0,22.6,1.35,0.037,0.61,78,1041,938,0,7,8.9,299,545,0,749,0.253,41.67,34.22,0.9500000000000001,0.18,720,1.7000000000000002,348,3.7
2018,1,1,15,0,23.700000000000003,1.34,0.037,0.61,82,1064,1079,0,7,9.1,303,685,0,945,0.252,39.43,20.48,0.9500000000000001,0.18,720,1.7000000000000002,1,4.1000000000000005
2018,1,1,16,0,24.3,1.35,0.035,0.61,82,1073,1146,0,7,9.4,395,482,0,874,0.25,38.75,7.59,0.9500000000000001,0.18,719,1.8,8,4.7
2018,1,1,17,0,24.1,1.33,0.034,0.61,82,1073,1140,0,6,9.700000000000001,527,121,0,646,0.247,40.1,9.43,0.9500000000000001,0.18,718,1.8,10,5.1000000000000005
2018,1,1,18,0,23.400000000000002,1.28,0.04,0.61,83,1053,1055,0,6,10.100000000000001,126,0,0,126,0.245,42.85,22.66,0.96,0.18,718,1.9000000000000001,12,5.4
2018,1,1,19,0,22,1.25,0.043000000000000003,0.61,80,1021,902,0,6,10.4,399,218,0,574,0.243,47.81,36.42,0.96,0.18,718,2,13,5.4
2018,1,1,20,0,20.200000000000003,1.22,0.047,0.61,75,968,695,0,7,10.9,316,245,0,472,0.242,55.120000000000005,50.21,0.96,0.18,718,2,13,5.2
2018,1,1,21,0,18.1,1.2,0.05,0.61,65,871,448,0,7,11.5,231,157,0,300,0.242,65.47,63.89,0.97,0.18,718,2.1,13,4.6000000000000005
2018,1,1,22,0,16.1,1.19,0.053,0.61,46,661,191,7,7,12.3,105,26,7,111,0.243,78.13,77.36,0.97,0.18,718,2.2,16,3.4000000000000004
2018,1,1,23,0,14.700000000000001,1.19,0.055,0.61,0,0,0,0,7,12.9,0,0,0,0,0.244,88.77,90.18,0.97,0.18,719,2.3000000000000003,22,2.2
2018,1,2,0,0,14.100000000000001,1.19,0.056,0.61,0,0,0,0,7,13.200000000000001,0,0,0,0,0.245,94.13,103.27,0.97,0.2,719,2.4000000000000004,22,1.8
2018,1,2,1,0,13.600000000000001,1.19,0.061,0.61,0,0,0,0,7,13.4,0,0,0,0,0.246,98.4,115.15,0.97,0.2,720,2.4000000000000004,25,1.4000000000000001
2018,1,2,2,0,13.200000000000001,1.1500000000000001,0.07200000000000001,0.61,0,0,0,0,7,13.200000000000001,0,0,0,0,0.247,100,125.68,0.97,0.2,721,2.5,34,1.1
2018,1,2,3,0,13.100000000000001,1.11,0.08700000000000001,0.61,0,0,0,0,7,13.100000000000001,0,0,0,0,0.248,100,133.91,0.98,0.2,721,2.6,27,0.9
2018,1,2,4,0,13,1.09,0.094,0.61,0,0,0,0,4,13,0,0,0,0,0.249,100,138.43,0.98,0.2,720,2.6,14,0.9
2018,1,2,5,0,12.9,1.09,0.089,0.61,0,0,0,0,8,12.9,0,0,0,0,0.25,100,138.05,0.98,0.2,720,2.6,4,0.9
2018,1,2,6,0,12.700000000000001,1.1,0.079,0.61,0,0,0,0,6,12.700000000000001,0,0,0,0,0.251,100,132.87,0.98,0.2,719,2.6,1,0.8
2018,1,2,7,0,12.5,1.11,0.07200000000000001,0.61,0,0,0,0,6,12.5,0,0,0,0,0.252,100,124.21000000000001,0.98,0.2,719,2.5,3,0.7000000000000001
2018,1,2,8,0,12.3,1.12,0.064,0.61,0,0,0,0,6,12.3,0,0,0,0,0.252,100,113.43,0.97,0.2,719,2.5,7,0.6000000000000001
2018,1,2,9,0,12.100000000000001,1.1400000000000001,0.059000000000000004,0.61,0,0,0,0,6,12.100000000000001,0,0,0,0,0.253,100,101.4,0.97,0.2,719,2.5,0,0.6000000000000001
2018,1,2,10,0,12.700000000000001,1.1500000000000001,0.053,0.61,14,168,18,7,6,12.3,4,0,7,4,0.253,97.17,88.39,0.97,0.2,720,2.5,344,0.8
2018,1,2,11,0,13.700000000000001,1.17,0.048,0.61,49,708,228,0,6,12.200000000000001,12,0,0,12,0.253,90.9,75.34,0.97,0.2,720,2.4000000000000004,14,1
2018,1,2,12,0,14.9,1.18,0.043000000000000003,0.61,64,889,484,0,6,12.100000000000001,60,0,0,60,0.252,83.46000000000001,61.83,0.97,0.2,721,2.4000000000000004,28,1.6
2018,1,2,13,0,16.2,1.18,0.039,0.61,73,975,723,0,6,11.600000000000001,151,1,0,152,0.252,74.18,48.120000000000005,0.97,0.2,721,2.4000000000000004,33,2.1
2018,1,2,14,0,17.6,1.19,0.035,0.61,77,1023,922,0,6,11.100000000000001,310,9,0,318,0.252,65.84,34.32,0.96,0.2,720,2.4000000000000004,39,2.6
2018,1,2,15,0,18.1,1.18,0.034,0.61,81,1047,1061,0,6,10.9,513,46,0,556,0.251,62.99,20.57,0.96,0.2,720,2.4000000000000004,48,3.3000000000000003
2018,1,2,16,0,18.1,1.18,0.033,0.61,82,1059,1131,0,7,10.9,541,80,0,620,0.25,62.72,7.62,0.96,0.2,720,2.4000000000000004,51,3.9000000000000004
2018,1,2,17,0,18,1.17,0.033,0.61,82,1056,1124,0,7,10.8,535,107,0,641,0.249,62.800000000000004,9.3,0.96,0.2,719,2.5,51,4.4
2018,1,2,18,0,17.5,1.1400000000000001,0.037,0.61,82,1040,1043,0,7,10.8,464,298,0,739,0.248,64.96000000000001,22.54,0.97,0.2,719,2.5,50,4.7
2018,1,2,19,0,16.6,1.12,0.038,0.61,78,1013,894,0,7,11,401,201,0,563,0.247,69.37,36.32,0.97,0.2,719,2.5,50,4.6000000000000005
2018,1,2,20,0,15.4,1.1,0.038,0.61,71,963,688,0,6,11.100000000000001,283,33,0,304,0.246,75.39,50.11,0.97,0.2,719,2.6,55,4.2
2018,1,2,21,0,13.700000000000001,1.08,0.042,0.61,62,869,445,0,7,11,113,3,0,114,0.245,83.77,63.800000000000004,0.97,0.2,719,2.6,75,3.8000000000000003
2018,1,2,22,0,11.8,1.07,0.043000000000000003,0.61,44,671,192,7,7,10.600000000000001,65,3,7,66,0.244,92.07000000000001,77.27,0.97,0.2,720,2.6,109,3.6
2018,1,2,23,0,9.600000000000001,1.06,0.038,0.61,0,0,0,0,7,9,0,0,0,0,0.244,96.17,90.12,0.96,0.2,721,2.4000000000000004,132,3.9000000000000004
2018,1,3,0,0,7,1.05,0.04,0.61,0,0,0,0,7,6.7,0,0,0,0,0.243,97.7,103.22,0.9500000000000001,0.19,722,2.2,141,3.7
2018,1,3,1,0,6.4,1.09,0.046,0.61,0,0,0,0,7,6,0,0,0,0,0.243,97.58,115.12,0.96,0.19,723,2.2,155,3
2018,1,3,2,0,6.5,1.12,0.054,0.61,0,0,0,0,6,6.1000000000000005,0,0,0,0,0.244,97.17,125.67,0.97,0.19,724,2.1,160,2
2018,1,3,3,0,6.5,1.1400000000000001,0.059000000000000004,0.61,0,0,0,0,7,6.2,0,0,0,0,0.246,98.28,133.94,0.98,0.19,724,2.1,170,1.7000000000000002
2018,1,3,4,0,6.5,1.1400000000000001,0.058,0.61,0,0,0,0,7,6.300000000000001,0,0,0,0,0.247,98.52,138.51,0.98,0.19,723,2,172,1.3
2018,1,3,5,0,6.4,1.1500000000000001,0.057,0.61,0,0,0,0,8,6.2,0,0,0,0,0.249,98.43,138.16,0.98,0.19,723,2,232,0.9
2018,1,3,6,0,6.6000000000000005,1.1500000000000001,0.061,0.61,0,0,0,0,8,6.2,0,0,0,0,0.251,96.98,133,0.98,0.19,723,2,250,1.3
2018,1,3,7,0,7,1.17,0.057,0.61,0,0,0,0,7,6.300000000000001,0,0,0,0,0.252,95.22,124.35000000000001,0.98,0.19,722,1.9000000000000001,218,1.3
2018,1,3,8,0,7.300000000000001,1.18,0.052000000000000005,0.61,0,0,0,0,7,6.5,0,0,0,0,0.253,94.93,113.57000000000001,0.98,0.19,722,1.9000000000000001,186,1.1
2018,1,3,9,0,7.4,1.19,0.051000000000000004,0.61,0,0,0,0,7,6.7,0,0,0,0,0.253,95.59,101.54,0.98,0.19,723,1.9000000000000001,160,1.3
2018,1,3,10,0,7.9,1.2,0.046,0.61,13,187,18,7,7,6.6000000000000005,7,0,7,7,0.252,91.54,88.51,0.97,0.19,724,1.9000000000000001,148,2
2018,1,3,11,0,8.5,1.19,0.043000000000000003,0.61,47,729,230,0,7,5.7,134,65,0,150,0.252,82.53,75.47,0.97,0.19,725,1.9000000000000001,149,2.7
2018,1,3,12,0,9,1.18,0.043000000000000003,0.61,64,902,488,0,6,4.7,142,6,0,144,0.251,74.25,61.95,0.97,0.19,725,1.9000000000000001,157,3.1
2018,1,3,13,0,9.700000000000001,1.18,0.042,0.61,74,987,732,0,4,4,404,118,0,483,0.251,67.78,48.24,0.97,0.19,725,1.8,164,3.4000000000000004
2018,1,3,14,0,10.600000000000001,1.18,0.039,0.61,80,1034,933,0,1,3.6,80,1034,0,933,0.251,62.13,34.43,0.97,0.19,725,1.8,166,3.5
2018,1,3,15,0,11.5,1.08,0.073,0.61,106,1028,1068,0,7,3.5,520,280,0,781,0.25,58.09,20.66,0.97,0.19,725,1.8,167,3.5
2018,1,3,16,0,12.3,1.09,0.067,0.61,105,1045,1141,0,7,3.5,296,648,0,938,0.248,54.95,7.65,0.96,0.19,725,1.8,167,3.4000000000000004
2018,1,3,17,0,13.3,1.1,0.059000000000000004,0.61,100,1051,1137,0,7,3.4000000000000004,357,592,0,941,0.247,50.96,9.16,0.96,0.19,724,1.8,164,3.3000000000000003
2018,1,3,18,0,14.200000000000001,1.1300000000000001,0.046,0.61,89,1053,1062,0,7,3,435,392,0,798,0.245,46.87,22.42,0.96,0.19,723,1.7000000000000002,157,3.2
2018,1,3,19,0,14.8,1.16,0.041,0.61,80,1031,912,0,0,2.5,80,1031,0,912,0.244,43.37,36.21,0.96,0.19,723,1.7000000000000002,147,3
2018,1,3,20,0,14.8,1.2,0.035,0.61,69,994,708,0,0,1.9000000000000001,69,994,0,708,0.244,41.68,50.01,0.9500000000000001,0.19,723,1.6,136,2.8000000000000003
2018,1,3,21,0,14.100000000000001,1.23,0.031,0.61,57,919,464,0,0,1.5,57,919,0,464,0.245,42.27,63.71,0.9400000000000001,0.19,722,1.5,130,2.6
2018,1,3,22,0,12,1.24,0.03,0.61,40,735,203,0,0,3.1,40,735,0,203,0.246,54.52,77.2,0.9400000000000001,0.19,723,1.5,129,1.5
2018,1,3,23,0,9.9,1.24,0.03,0.61,0,0,0,0,7,3.6,0,0,0,0,0.248,65.08,90.06,0.9400000000000001,0.19,723,1.4000000000000001,132,0.7000000000000001
2018,1,4,0,0,9.700000000000001,1.23,0.03,0.61,0,0,0,0,7,3,0,0,0,0,0.249,63.25,103.17,0.9400000000000001,0.19,724,1.4000000000000001,134,0.7000000000000001
2018,1,4,1,0,9.600000000000001,1.22,0.032,0.61,0,0,0,0,7,2.5,0,0,0,0,0.25,61.46,115.09,0.9500000000000001,0.19,724,1.4000000000000001,144,0.5
2018,1,4,2,0,9.200000000000001,1.22,0.034,0.61,0,0,0,0,0,2.3000000000000003,0,0,0,0,0.251,62.230000000000004,125.67,0.9500000000000001,0.19,724,1.4000000000000001,188,0.5
2018,1,4,3,0,8.5,1.2,0.037,0.61,0,0,0,0,1,2.2,0,0,0,0,0.253,64.59,133.97,0.9500000000000001,0.19,724,1.3,225,0.6000000000000001
2018,1,4,4,0,7.800000000000001,1.18,0.041,0.61,0,0,0,0,0,1.9000000000000001,0,0,0,0,0.254,66.12,138.59,0.96,0.19,723,1.3,243,0.8
2018,1,4,5,0,7.4,1.18,0.041,0.61,0,0,0,0,1,1.5,0,0,0,0,0.255,65.98,138.28,0.96,0.19,723,1.2000000000000002,249,0.9
